,R,DEE,Remb,r,g,b,x,y,z
14568,16.0038,78.177,0.6532,0.620334189,0.60576503,0.605763142,0.316414158,0.329034858,0.354550985
14569,23.7056,55.6478,0.3742,0.529362817,0.627997673,0.628271284,0.289464566,0.328844279,0.381691155
14570,49.856,19.4303,0.3474,0.58934027,0.6395641,0.587278312,0.312269052,0.349306139,0.338424809
14571,35.4391,5.6616,1.0,0.514846655,0.625327087,0.63697077,0.284393846,0.324253398,0.391352757
14572,12.3079,9.8982,0.5869,0.600316564,0.625680849,0.596346005,0.313168928,0.340346505,0.346484567
14573,10.914,47.9467,0.6127,0.622358003,0.599149078,0.611122074,0.31580648,0.324468402,0.359725118
14574,89.7529,42.5216,0.3498,0.656514674,0.666444268,0.511818742,0.344511436,0.386144298,0.269344266
14575,5.0,24.8993,0.6661,0.609308551,0.608520714,0.609034028,0.312804785,0.328826185,0.358369031
14576,65.064,20.6355,0.5283,0.610973209,0.655573156,0.556338994,0.32393085,0.366968592,0.309100557
14577,5.0,13.2726,0.6305,0.608069614,0.608181536,0.61003185,0.312267581,0.328310507,0.359421912
14578,7.3569,21.2565,0.774,0.617316659,0.605757783,0.607428944,0.315255402,0.328391692,0.356352906
14579,65.4566,5.0,0.73,0.596245971,0.654390065,0.566424996,0.318184244,0.362959416,0.31885634
14580,88.373,5.0,0.8284,0.647758676,0.669221878,0.514336365,0.341584192,0.386560051,0.271855756
14581,57.9413,33.8533,0.7346,0.693533468,0.649361236,0.50685733,0.356380163,0.38044618,0.263173658
14582,19.2645,5.0,0.9713,0.551792339,0.613944644,0.632058732,0.293636475,0.321798241,0.384565285
14583,14.7536,5.0,0.7909,0.563810992,0.619521699,0.621095973,0.298877726,0.32836231,0.372759964
14584,18.286,35.9199,0.5651,0.6427548,0.616960441,0.581230349,0.327633983,0.342514074,0.329851944
14585,5.0,36.8283,0.7107,0.609983849,0.609314612,0.607883928,0.313227673,0.329573987,0.35719834
14586,6.5285,67.6003,0.6166,0.609517471,0.609652202,0.607799134,0.31312406,0.329736056,0.357139883
14587,56.2028,35.0909,0.5982,0.670526058,0.641899778,0.53402584,0.344665552,0.368774346,0.286560101
14588,5.0,34.1973,0.7577,0.609551489,0.609152473,0.608277439,0.31303047,0.329360119,0.357609411
14589,24.1335,40.7321,0.9344,0.615885113,0.619753416,0.593996451,0.31770952,0.338892672,0.343397808
